id,value
EmpowerAcademy,
EmpowerAcademy.BackEndEngineering,
EmpowerAcademy.BackEndEngineering.PythonScripting,
EmpowerAcademy.BackEndEngineering.RESTfulAPIs,
EmpowerAcademy.BackEndEngineering.BashScripting,
EmpowerAcademy.DataEngineering,
EmpowerAcademy.DataEngineering.MySQL+NoSQL,
EmpowerAcademy.DataEngineering.DataPipelines,
EmpowerAcademy.DataEngineering.DataVisualization,
EmpowerAcademy.Cybersecurity,
EmpowerAcademy.Cybersecurity.WebApplicationVulnerabilities,
EmpowerAcademy.Cybersecurity.DataProtection,
EmpowerAcademy.Cybersecurity.BestPractices,
EmpowerAcademy.DevOps,
EmpowerAcademy.DevOps.AWS,
EmpowerAcademy.DevOps.ContinuousIntegration,
EmpowerAcademy.DevOps.Docker,